"servper","ntype","rtype","n"
"2004Q2","target","dwellings",1274
"2004Q3","target","dwellings",1210
"2004Q4","target","dwellings",1155
"2005Q1","target","dwellings",1118
"2005Q2","target","dwellings",1077
"2005Q3","target","dwellings",1033
"2005Q4","target","dwellings",1011
"2006Q1","target","dwellings",984
"2006Q2","target","dwellings",1486
"2006Q3","target","dwellings",1591
"2006Q4","target","dwellings",1717
"2007Q1","target","dwellings",1838
"2007Q2","target","dwellings",1968
"2007Q3","target","dwellings",2045
"2007Q4","target","dwellings",2160
"2008Q1","target","dwellings",2259
"2008Q2","target","dwellings",2221
"2008Q3","target","dwellings",2247
"2008Q4","target","dwellings",2321
"2009Q1","target","dwellings",2390
"2009Q2","target","dwellings",2425
"2009Q3","target","dwellings",2463
"2009Q4","target","dwellings",2548
"2010Q1","target","dwellings",2577
"2010Q2","target","dwellings",2560
"2010Q3","target","dwellings",2579
"2010Q4","target","dwellings",2612
"2011Q1","target","dwellings",2669
"2011Q2","target","dwellings",2765
"2011Q3","target","dwellings",2754
"2011Q4","target","dwellings",2755
"2012Q1","target","dwellings",2780
"2012Q3","target","dwellings",2756
"2012Q4","target","dwellings",2831
"2013Q1","target","dwellings",2833
"2013Q2","target","dwellings",2889
"2013Q3","target","dwellings",2935
"2013Q4","target","dwellings",2881
"2014Q1","target","dwellings",2855
"2014Q2","target","dwellings",2883
"2014Q3","target","dwellings",2875
"2014Q4","target","dwellings",2864
"2015Q1","target","dwellings",2847
"2015Q2","target","dwellings",2903
"2015Q3","target","dwellings",2913
"2015Q4","target","dwellings",2896
"2016Q1","target","dwellings",2943
"2016Q2","target","dwellings",3055
"2016Q3","target","dwellings",2955
"2016Q4","target","dwellings",2881
"2017Q1","target","dwellings",2928
"2017Q2","target","dwellings",2931
"2017Q3","target","dwellings",2916
"2017Q4","target","dwellings",2940
"2000Q2","target","landlords",1252
"2000Q3","target","landlords",1233
"2000Q4","target","landlords",1205
"2001Q1","target","landlords",1128
"2001Q3","target","landlords",1150
"2001Q4","target","landlords",1176
"2002Q1","target","landlords",1138
"2002Q2","target","landlords",1077
"2002Q3","target","landlords",1024
"2002Q4","target","landlords",988
"2003Q1","target","landlords",944
"2003Q2","target","landlords",884
"2003Q3","target","landlords",858
"2003Q4","target","landlords",843
"2004Q1","target","landlords",805
"2004Q2","target","landlords",796
"2004Q3","target","landlords",757
"2004Q4","target","landlords",718
"2005Q1","target","landlords",693
"2005Q2","target","landlords",661
"2005Q3","target","landlords",638
"2005Q4","target","landlords",619
"2006Q1","target","landlords",599
"2006Q2","target","landlords",826
"2006Q3","target","landlords",889
"2006Q4","target","landlords",947
"2007Q1","target","landlords",995
"2007Q2","target","landlords",1048
"2007Q3","target","landlords",1077
"2007Q4","target","landlords",1121
"2008Q1","target","landlords",1129
"2008Q2","target","landlords",1121
"2008Q3","target","landlords",1147
"2008Q4","target","landlords",1165
"2009Q1","target","landlords",1191
"2009Q2","target","landlords",1210
"2009Q3","target","landlords",1225
"2009Q4","target","landlords",1252
"2010Q1","target","landlords",1262
"2010Q2","target","landlords",1242
"2010Q3","target","landlords",1258
"2010Q4","target","landlords",1267
"2011Q1","target","landlords",1263
"2011Q2","target","landlords",1294
"2011Q3","target","landlords",1294
"2011Q4","target","landlords",1298
"2012Q1","target","landlords",1315
"2012Q3","target","landlords",1309
"2012Q4","target","landlords",1315
"2013Q1","target","landlords",1324
"2013Q2","target","landlords",1346
"2013Q3","target","landlords",1357
"2013Q4","target","landlords",1354
"2014Q1","target","landlords",1346
"2014Q2","target","landlords",1358
"2014Q3","target","landlords",1363
"2014Q4","target","landlords",1367
"2015Q1","target","landlords",1353
"2015Q2","target","landlords",1377
"2015Q3","target","landlords",1391
"2015Q4","target","landlords",1388
"2016Q1","target","landlords",1393
"2016Q2","target","landlords",1393
"2016Q3","target","landlords",1389
"2016Q4","target","landlords",1385
