"Observations","count","prop","win_start","win_end","win_days","region"
"3",5166,0.14293224137454,"1993-01-01","1998-01-01",1826,"Wellington"
"4",2871,0.0794344686384639,"1993-01-01","1998-01-01",1826,"Wellington"
"5",1425,0.0394267216335113,"1993-01-01","1998-01-01",1826,"Wellington"
"6",665,0.0183991367623053,"1993-01-01","1998-01-01",1826,"Wellington"
"7",305,0.00843870182331295,"1993-01-01","1998-01-01",1826,"Wellington"
"8",130,0.00359682372796945,"1993-01-01","1998-01-01",1826,"Wellington"
"9",44,0.00121738649254351,"1993-01-01","1998-01-01",1826,"Wellington"
"1",16253,0.500153865091088,"1994-01-01","1998-01-01",1461,"Wellington"
"10",8,0.000246184145741014,"1994-01-01","1998-01-01",1461,"Wellington"
"11",1,3.07730182176268e-05,"1994-01-01","1998-01-01",1461,"Wellington"
"2",8206,0.252523387493845,"1994-01-01","1998-01-01",1461,"Wellington"
"3",4424,0.136139832594781,"1994-01-01","1998-01-01",1461,"Wellington"
"4",2115,0.0650849335302807,"1994-01-01","1998-01-01",1461,"Wellington"
"5",934,0.0287419990152634,"1994-01-01","1998-01-01",1461,"Wellington"
"6",378,0.0116322008862629,"1994-01-01","1998-01-01",1461,"Wellington"
"7",145,0.00446208764155588,"1994-01-01","1998-01-01",1461,"Wellington"
"8",21,0.000646233382570162,"1994-01-01","1998-01-01",1461,"Wellington"
"9",11,0.000338503200393895,"1994-01-01","1998-01-01",1461,"Wellington"
"1",15818,0.562297820909317,"1995-01-01","1998-01-01",1096,"Wellington"
"2",7241,0.257402865166542,"1995-01-01","1998-01-01",1096,"Wellington"
"3",3236,0.115033237353809,"1995-01-01","1998-01-01",1096,"Wellington"
"4",1267,0.045039280509047,"1995-01-01","1998-01-01",1096,"Wellington"
"5",419,0.014894600263055,"1995-01-01","1998-01-01",1096,"Wellington"
"6",109,0.00387472894671359,"1995-01-01","1998-01-01",1096,"Wellington"
"7",31,0.00110198713163414,"1995-01-01","1998-01-01",1096,"Wellington"
"8",7,0.000248835803917387,"1995-01-01","1998-01-01",1096,"Wellington"
"9",3,0.000106643915964594,"1995-01-01","1998-01-01",1096,"Wellington"
"1",14538,0.652630633866044,"1996-01-01","1998-01-01",731,"Wellington"
"2",5425,0.243535643742144,"1996-01-01","1998-01-01",731,"Wellington"
"3",1795,0.080579996408691,"1996-01-01","1998-01-01",731,"Wellington"
"4",425,0.0190788292332555,"1996-01-01","1998-01-01",731,"Wellington"
"5",81,0.00363620039504399,"1996-01-01","1998-01-01",731,"Wellington"
"6",9,0.000404022266115999,"1996-01-01","1998-01-01",731,"Wellington"
"7",3,0.000134674088705333,"1996-01-01","1998-01-01",731,"Wellington"
"1",11522,0.820713726048864,"1997-01-01","1998-01-01",365,"Wellington"
"2",2261,0.161051356934255,"1997-01-01","1998-01-01",365,"Wellington"
"3",248,0.017665075860104,"1997-01-01","1998-01-01",365,"Wellington"
"4",8,0.000569841156777548,"1997-01-01","1998-01-01",365,"Wellington"
"1",17792,0.431122634422932,"1993-01-01","1999-01-01",2191,"Wellington"
"10",44,0.00106617557973297,"1993-01-01","1999-01-01",2191,"Wellington"
"11",19,0.000460394000339238,"1993-01-01","1999-01-01",2191,"Wellington"
"12",6,0.000145387579054496,"1993-01-01","1999-01-01",2191,"Wellington"
"13",2,4.84625263514987e-05,"1993-01-01","1999-01-01",2191,"Wellington"
"14",1,2.42312631757494e-05,"1993-01-01","1999-01-01",2191,"Wellington"
"2",9816,0.237854079333156,"1993-01-01","1999-01-01",2191,"Wellington"
"3",5966,0.144563716106521,"1993-01-01","1999-01-01",2191,"Wellington"
"4",3547,0.0859482904843829,"1993-01-01","1999-01-01",2191,"Wellington"
"5",2089,0.0506191087741404,"1993-01-01","1999-01-01",2191,"Wellington"
"6",1043,0.0252732074923066,"1993-01-01","1999-01-01",2191,"Wellington"
"7",545,0.0132060384307834,"1993-01-01","1999-01-01",2191,"Wellington"
"8",289,0.00700283505779156,"1993-01-01","1999-01-01",2191,"Wellington"
"9",110,0.00266543894933243,"1993-01-01","1999-01-01",2191,"Wellington"
"1",17395,0.457474226804124,"1994-01-01","1999-01-01",1826,"Wellington"
"10",14,0.000368188512518409,"1994-01-01","1999-01-01",1826,"Wellington"
"11",6,0.000157795076793604,"1994-01-01","1999-01-01",1826,"Wellington"
"12",2,5.25983589312013e-05,"1994-01-01","1999-01-01",1826,"Wellington"
"13",1,2.62991794656007e-05,"1994-01-01","1999-01-01",1826,"Wellington"
"2",9347,0.245818430464969,"1994-01-01","1999-01-01",1826,"Wellington"
"3",5474,0.143961708394698,"1994-01-01","1999-01-01",1826,"Wellington"
"4",2978,0.0783189564485588,"1994-01-01","1999-01-01",1826,"Wellington"
"5",1560,0.041026719966337,"1994-01-01","1999-01-01",1826,"Wellington"
"6",751,0.0197506837786661,"1994-01-01","1999-01-01",1826,"Wellington"
"7",334,0.00878392594151062,"1994-01-01","1999-01-01",1826,"Wellington"
"8",118,0.00310330317694088,"1994-01-01","1999-01-01",1826,"Wellington"
"9",44,0.00115716389648643,"1994-01-01","1999-01-01",1826,"Wellington"
"1",17021,0.497341047218326,"1995-01-01","1999-01-01",1461,"Wellington"
"10",2,5.84385226741468e-05,"1995-01-01","1999-01-01",1461,"Wellington"
"11",1,2.92192613370734e-05,"1995-01-01","1999-01-01",1461,"Wellington"
"2",8726,0.254967274427302,"1995-01-01","1999-01-01",1461,"Wellington"
"3",4680,0.136746143057504,"1995-01-01","1999-01-01",1461,"Wellington"
"4",2262,0.06609396914446,"1995-01-01","1999-01-01",1461,"Wellington"
"5",977,0.0285472183263207,"1995-01-01","1999-01-01",1461,"Wellington"
"6",376,0.0109864422627396,"1995-01-01","1999-01-01",1461,"Wellington"
"7",111,0.00324333800841515,"1995-01-01","1999-01-01",1461,"Wellington"
"8",55,0.00160705937353904,"1995-01-01","1999-01-01",1461,"Wellington"
"9",13,0.000379850397381954,"1995-01-01","1999-01-01",1461,"Wellington"
"1",16176,0.550147944087338,"1996-01-01","1999-01-01",1096,"Wellington"
"2",7687,0.261435907900554,"1996-01-01","1999-01-01",1096,"Wellington"
"3",3622,0.123184709043295,"1996-01-01","1999-01-01",1096,"Wellington"
"4",1315,0.0447233275516104,"1996-01-01","1999-01-01",1096,"Wellington"
"5",444,0.0151004999489848,"1996-01-01","1999-01-01",1096,"Wellington"
"6",122,0.0041492364724688,"1996-01-01","1999-01-01",1096,"Wellington"
"7",30,0.00102030405060708,"1996-01-01","1999-01-01",1096,"Wellington"
"8",6,0.000204060810121416,"1996-01-01","1999-01-01",1096,"Wellington"
"9",1,3.4010135020236e-05,"1996-01-01","1999-01-01",1096,"Wellington"
"1",14880,0.637696065826691,"1997-01-01","1999-01-01",730,"Wellington"
"2",6071,0.260178280620554,"1997-01-01","1999-01-01",730,"Wellington"
"3",1874,0.080311991085969,"1997-01-01","1999-01-01",730,"Wellington"
"4",432,0.0185137567498071,"1997-01-01","1999-01-01",730,"Wellington"
"5",72,0.00308562612496786,"1997-01-01","1999-01-01",730,"Wellington"
"6",5,0.000214279592011657,"1997-01-01","1999-01-01",730,"Wellington"
"1",12170,0.815191908366267,"1998-01-01","1999-01-01",365,"Wellington"
"2",2515,0.168464063232634,"1998-01-01","1999-01-01",365,"Wellington"
"3",234,0.0156741911715453,"1998-01-01","1999-01-01",365,"Wellington"
"4",10,0.000669837229553219,"1998-01-01","1999-01-01",365,"Wellington"
"1",18641,0.40401829255077,"1993-01-01","2000-01-01",2556,"Wellington"
"10",120,0.00260083660244045,"1993-01-01","2000-01-01",2556,"Wellington"
"11",39,0.000845271895793147,"1993-01-01","2000-01-01",2556,"Wellington"
"12",19,0.000411799128719738,"1993-01-01","2000-01-01",2556,"Wellington"
