"period","index_type","index","imp_length"
"1993 Q1","index_revisable",1,1
"1993 Q2","index_revisable",0.999655540797042,1
"1993 Q3","index_revisable",1.00188914822278,1
"1993 Q4","index_revisable",1.00938734708712,1
"1994 Q1","index_revisable",1.01854180312049,1
"1994 Q2","index_revisable",1.0302268816967,1
"1994 Q3","index_revisable",1.04156802527977,1
"1994 Q4","index_revisable",1.0543399624351,1
"1995 Q1","index_revisable",1.07073835235726,1
"1995 Q2","index_revisable",1.08684439284194,1
"1995 Q3","index_revisable",1.10227285362991,1
"1995 Q4","index_revisable",1.11726928963706,1
"1996 Q1","index_revisable",1.1344128156055,1
"1996 Q2","index_revisable",1.1506273235111,1
"1996 Q3","index_revisable",1.16077421304165,1
"1996 Q4","index_revisable",1.1743680667941,1
"1997 Q1","index_revisable",1.18085809187826,1
"1997 Q2","index_revisable",1.18900737263945,1
"1997 Q3","index_revisable",1.19158985018694,1
"1997 Q4","index_revisable",1.191519816864,1
"1998 Q1","index_revisable",1.18945280799613,1
"1998 Q2","index_revisable",1.18461447146407,1
"1998 Q3","index_revisable",1.17669980983727,1
"1998 Q4","index_revisable",1.16749163112917,1
"1999 Q1","index_revisable",1.16062186512351,1
"1999 Q2","index_revisable",1.15554726952923,1
"1999 Q3","index_revisable",1.15242946122242,1
"1999 Q4","index_revisable",1.15051007561655,1
"2000 Q1","index_revisable",1.15040354169183,1
"2000 Q2","index_revisable",1.14905330177601,1
"2000 Q3","index_revisable",1.14738759455373,1
"2000 Q4","index_revisable",1.14443087412877,1
"2001 Q1","index_revisable",1.13924402618461,1
"2001 Q2","index_revisable",1.13597449038431,1
"2001 Q3","index_revisable",1.13506235070252,1
"2001 Q4","index_revisable",1.13660643055327,1
"2002 Q1","index_revisable",1.14526228447862,1
"2002 Q2","index_revisable",1.15990195399953,1
"2002 Q3","index_revisable",1.17261901190905,1
"2002 Q4","index_revisable",1.18967028414736,1
"2003 Q1","index_revisable",1.21011952019696,1
"2003 Q2","index_revisable",1.22671954434187,1
"2003 Q3","index_revisable",1.24134988264743,1
"2003 Q4","index_revisable",1.25563339970113,1
"2004 Q1","index_revisable",1.27121275249126,1
"2004 Q2","index_revisable",1.28364727465593,1
